,Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
132,BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1687101489,1687101686,1,197.0,26284.91953125,35337.101953125,49188.05703125,64655
133,BNG(letter)_OpenML,1000000,16,1687112831,1687112993,1,162.0,683.05078125,6293.13671875,756.896875,6294
134,BNG(libras_move)_OpenML,1000000,90,1687122636,1687122800,1,164.0,1977.65703125,9398.4697265625,3121.233984375,11475
135,BNG(lymph_COMMA_1000_COMMA_1)_OpenML,1000000,18,1687133310,1687133472,1,162.0,623.2875,6030.624609375,749.4227430555555,6063
136,BNG(lymph_COMMA_1000_COMMA_10)_OpenML,1000000,18,1687133652,1687133813,1,161.0,576.54765625,6051.9375,625.5578125,6051
137,BNG(lymph_COMMA_1000_COMMA_5)_OpenML,1000000,18,1687133481,1687133643,1,162.0,596.440625,6047.9296875,718.102734375,6115
138,BNG(lymph_COMMA_10000_COMMA_1)_OpenML,1000000,18,1687134335,1687134497,1,162.0,675.569921875,6045.9490234375,910.394140625,6123
139,BNG(lymph_COMMA_10000_COMMA_10)_OpenML,1000000,18,1687134677,1687134840,1,163.0,573.7035156249999,6048.6349609375,746.57421875,6089
140,BNG(lymph_COMMA_10000_COMMA_5)_OpenML,1000000,18,1687134506,1687134669,1,163.0,593.508984375,6034.9107421875,743.5698784722222,6100
141,BNG(lymph_COMMA_5000_COMMA_1)_OpenML,1000000,18,1687133822,1687133985,1,163.0,658.03359375,6047.471484375,874.13828125,6133
142,BNG(lymph_COMMA_5000_COMMA_10)_OpenML,1000000,18,1687134165,1687134326,1,161.0,572.11875,6047.9375,726.864453125,6142
143,BNG(lymph_COMMA_5000_COMMA_5)_OpenML,1000000,18,1687133994,1687134156,1,162.0,578.617578125,6048.676171875,686.70546875,6088
144,BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,1687101865,1687102030,1,165.0,1775.38671875,6071.2234375,3157.15,7988
145,BNG(lymph)_OpenML,1000000,18,1687113171,1687113335,1,164.0,1090.206640625,6097.4572265625,1609.228125,6237
146,BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,76,1687102047,1687102209,1,162.0,811.73515625,7638.703125,1258.44453125,7641
147,BNG(mfeat-fourier)_OpenML,1000000,76,1687221208,1687221693,1,485.0,14832.532421875,24302.5828125,36395.74609375,54737
148,BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,64,1687102219,1687102382,1,163.0,755.92890625,7506.71484375,1038.225,7530
149,BNG(mfeat-karhunen)_OpenML,1000000,64,1687113769,1687113930,1,161.0,960.59375,8626.12578125,991.015625,8627
150,BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,1687102727,1687102888,1,161.0,1916.75703125,7754.071484375,3598.708203125,9547
151,BNG(mfeat-zernike)_OpenML,1000000,47,1687114114,1687114276,1,162.0,751.75390625,3140.55078125,826.9328125,3140
152,BNG(mushroom)_OpenML,1000000,22,1687102897,1687103062,1,165.0,3071.65390625,8249.0609375,5611.703125,10173
153,BNG(optdigits)_OpenML,1000000,64,1687137404,1687137567,1,163.0,1047.12109375,7462.703125,1381.28359375,7462
154,BNG(page-blocks_COMMA_nominal_COMMA_295245)_OpenML,295245,10,1687214166,0,-22,,61146.63828125,146617.398828125,61671.65,227894
155,BNG(page-blocks)_OpenML,295245,10,1687114791,1687114805,1,14.0,391.6203125,5096.078125,465.433984375,5096
156,BNG(pbc)_OpenML,1000000,18,1687120572,1687120734,1,162.0,714.4296875,6399.93359375,742.2734375,6399
157,BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1687104342,1687104517,1,175.0,13139.340625,19066.4703125,25145.49609375,33232
158,BNG(pendigits)_OpenML,1000000,16,1687114986,1687115148,1,162.0,682.85234375,6375.8828125,819.784765625,6379
159,BNG(pharynx)_OpenML,1000000,10,1687121253,1687121415,1,162.0,659.5015625,5294.9765625,788.14296875,5313
160,BNG(primary-tumor)_OpenML,1000000,17,1687118070,1687118264,1,194.0,21569.2359375,29268.9525390625,41433.13125,52081
161,BNG(puma32H)_OpenML,1000000,32,1687122982,1687123142,1,160.0,846.12578125,7933.734375,890.76484375,7951
162,BNG(pwLinear)_OpenML,177147,10,1687121782,1687121788,1,6.0,377.250390625,4979.9033203125,390.7,4994
163,BNG(satellite_image)_OpenML,1000000,36,1687122280,1687122440,1,160.0,857.29375,8013.0703125,930.2671875,8058
164,BNG(satimage)_OpenML,1000000,36,1687119366,1687119526,1,160.0,862.966796875,8011.08203125,895.7734375,8012
165,BNG(segment)_OpenML,1000000,19,1687214540,1687216008,1,1468.0,62047.684375,211742.125,62460.983203125,221990
166,BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,1687216046,0,-22,,61343.477734375,133908.8091796875,62448.337109375,229195
167,BNG(solar-flare)_OpenML,663552,12,1687118271,1687118371,1,100.0,31463.0078125,39546.5609375,54571.70859375,67775
168,BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,1687105739,1687105899,1,160.0,1075.96015625,7385.61328125,1201.504296875,7386
169,BNG(sonar)_OpenML,1000000,60,1687115504,1687115677,1,173.0,8770.053125,16172.09140625,18619.597265625,29527
170,BNG(soybean)_OpenML,1000000,35,1687105915,1687106076,1,161.0,3069.19296875,8737.546875,5265.014453125,10679
171,BNG(spambase)_OpenML,1000000,57,1687216454,0,-22,,61697.09609375,165720.66953125,62424.60390625,248120
172,BNG(spect_test)_OpenML,1000000,22,1687118826,1687119002,1,176.0,12368.33515625,19023.623046875,25226.348046875,35381
173,BNG(SPECT)_OpenML,1000000,22,1687123150,1687123526,1,376.0,56322.373828125,79088.6392578125,60731.5796875,104458
174,BNG(spectf_test)_OpenML,1000000,44,1687119019,1687119180,1,161.0,889.64453125,8164.6015625,1074.8265625,8184
175,BNG(SPECTF)_OpenML,1000000,44,1687123612,1687123775,1,163.0,901.15390625,8150.59765625,1006.13515625,8151
176,BNG(trains)_OpenML,1000000,32,1687106968,1687107127,1,159.0,1077.70078125,6875.93984375,1313.765625,6895
177,BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,1687107314,1687107499,1,185.0,22148.6875,29229.0828125,42765.41953125,54180
178,BNG(vehicle)_OpenML,1000000,18,1687116033,1687116194,1,161.0,714.80859375,6698.18984375,743.68359375,6699
179,BNG(vote)_OpenML,131072,16,1687107709,1687107713,1,4.0,1018.8859375,5461.200390625,1607.496484375,5491
180,BNG(vowel)_OpenML,1000000,12,1687122808,1687122970,1,162.0,624.220703125,5781.90234375,779.15,5855
181,BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,1000000,40,1687108596,1687108755,1,159.0,966.681640625,7016.05859375,1087.7078125,7075
182,BNG(waveform-5000)_OpenML,1000000,40,1687116381,1687116540,1,159.0,880.0234375,8056.33984375,908.640625,8057
183,BNG(wine_quality)_OpenML,531441,11,1687121795,1687121841,1,46.0,453.2578125,5472.4048828125,614.121484375,5473
184,BNG(wine)_OpenML,1000000,13,1687119543,1687119706,1,163.0,638.0890625,6019.5234375,716.794921875,6020
185,BNG(wisconsin)_OpenML,1000000,32,1687119889,1687120050,1,161.0,827.6109375,7786.81640625,879.2109375,7812
186,BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,1687108764,1687108928,1,164.0,2849.101171875,7648.263476562501,5104.94765625,9585
187,BNG(zoo)_OpenML,1000000,16,1687221701,0,-22,,61687.257421875,128008.36015625,61955.10625,209891
189,bot-iot-all-features_OpenML,3668522,44,1687139749,1687141878,1,2129.0,2075.2890625,11716.19140625,2355.99296875,11891
192,Buzzinsocialmedia_Twitter_OpenML,583250,77,1687136584,1687136639,1,55.0,532.065625,7732.484375,870.7640625,7733
201,Click_OpenML,1000000,11,1687228415,0,-22,,61651.540625,150637.9984375,62173.49375,229444
202,Click_prediction_small_OpenML,399482,11,1687124377,1687124471,1,94.0,60538.7615234375,89728.6328125,62386.01953125,95873
210,covertype_OpenML,581012,54,1687135362,1687135417,1,55.0,487.9703125,6854.72265625,925.79296875,6854
215,CovPokElec_OpenML,1455525,72,1687217915,1687219545,1,1630.0,62034.1298828125,138581.689453125,62446.3859375,190212
216,Credit_Card_Fraud_Detection_OpenML,284807,30,1687147020,1687147033,1,13.0,600.69453125,6799.59375,840.00078125,6799
217,creditcard_OpenML,284807,29,1687135425,1687135439,1,14.0,464.959375,6837.16796875,562.11640625,6848
218,CreditCardFraudDetection_OpenML,284807,30,1687142146,1687142159,1,13.0,583.98359375,6799.6015625,839.012109375,6799
223,delays_zurich_transport_OpenML,5465575,11,1687147338,1687152107,1,4769.0,19897.67421875,25882.296875,38507.009375,44296
228,Diabetes130US_OpenML,101766,49,1687136570,1687136572,1,2.0,292.046875,6203.243489583333,300.579296875,6213
229,dionis_OpenML,416188,60,1687138699,1687138727,1,28.0,635.33203125,6938.15625,676.176953125,6939
231,Dota2-Games-Results-Data-Set_OpenML,102944,116,1687152964,1687152966,1,2.0,364.3115234375,2740.01953125,372.4796875,2759
237,EMNIST_Balanced_OpenML,131600,784,1687138667,1687138671,1,4.0,823.8953125,6908.7302734375,1488.77421875,6927
238,fars_OpenML,100968,29,1687138629,1687138631,1,2.0,436.2484375,5481.264453125,436.2484375,5481
312,hcdr_OpenML,244280,69,1687152156,1687152166,1,10.0,558.278125,6451.91015625,712.848046875,6454
313,Higgs_OpenML,1000000,28,1687143267,1687143427,1,160.0,805.303515625,7255.52734375,838.05859375,7256
319,hls4ml_lhc_jets_hlf_OpenML,830000,16,1687142222,1687142335,1,113.0,1173.65859375,6214.550976562499,1817.554296875,6313
320,Hyperplane_10_1E-3_OpenML,1000000,10,1687109831,1687110010,1,179.0,8134.303125,12803.17578125,18125.576953125,25867
321,Hyperplane_10_1E-4_OpenML,1000000,10,1687110018,1687110195,1,177.0,8214.67578125,12797.776953125,18194.3734375,26290
324,KDDCup99_full_OpenML,4898431,41,1687222248,0,-22,,61714.4572265625,166367.8515625,61886.666796875,274699
325,KDDCup99_OpenML,494020,41,1687222837,0,-22,,61534.3060546875,158665.63437500002,62027.284375,276444
327,Klaverjas2018_OpenML,981541,32,1687138742,1687138897,1,155.0,810.3359375,6821.1953125,1146.8328125,6833
328,Kuzushiji-49_OpenML,270912,784,1687139697,1687139709,1,12.0,1289.76953125,7932.44140625,2059.851171875,8232
332,LED(50000)_OpenML,1000000,24,1687110204,1687110366,1,162.0,869.03671875,6584.61328125,959.4125,6592
333,medical_charges_nominal_OpenML,163065,11,1687142352,1687142357,1,5.0,362.00234375,5053.48828125,393.163671875,5053
334,medical_charges_OpenML,188806,12,1687145329,1687145336,1,7.0,240.434375,5130.4375,264.38828125,5131
342,MiniBooNE_OpenML,130064,50,1687138687,1687138690,1,3.0,560.684765625,6483.1796875,653.98125,6483
357,nyc_taxi_green_OpenML,581835,18,1687147083,1687147139,1,56.0,567.565625,5835.0390625,673.73984375,5835
