,Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Median,Memory_Physical_Median,Memory_Virtual_Median,Memory_Max,Memory_Physical_Max,Memory_Virtual_Max
128,road-safety_OpenML,111762,32,1686292413.0,1686292416.0,1,3.0,53941.603121,5442.169531,48499.43359,53943.671871,5444.238281,48499
129,ATLAS-Higgs-Boson-Machine-Learning-Challenge-2014_OpenML,818238,30,1686292499.0,1686292632.0,1,133.0,54111.558595,5512.484375,48599.07422,54298.822262,5606.107422,48692
130,Dota2-Games-Results-Data-Set_OpenML,102944,116,1686292721.0,1686292724.0,1,3.0,53930.300778000004,5421.867188,48508.43359,53930.300778000004,5421.867188,48508
131,SantanderCustomerSatisfaction_OpenML,200000,200,1686292786.0,1686292794.0,1,8.0,54240.519534,5576.496094,48664.02344,54362.591411,5637.532031,48725
132,BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686471641.0,1686471955.0,1,314.0,123518.60547000001,53920.107035,69598.498435,236611.1598,106477.9141,130133
133,BNG(kr-vs-kp)_OpenML,1000000,36,1686471958.0,1686472178.0,1,220.0,58960.771095000004,24340.243755000003,34620.52734,69798.08515,29411.15781,40386
134,BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686472180.0,1686472404.0,1,224.0,41358.581245,15973.253905,25385.32734,61668.33281,25454.20547,36214
135,BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686472407.0,1686472651.0,1,244.0,66403.259765,27363.532424999998,39039.72734,115719.21484,50108.1875,65611
136,BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,1686472655.0,1686472851.0,1,196.0,30537.87343,11213.34609,19324.52734,30927.06718,11602.53984,19324
137,BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,1686472853.0,1686473055.0,1,202.0,31949.74531,11857.21797,20092.52734,33935.20937,12946.68203,20988
138,BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,76,1686473060.0,1686473262.0,1,202.0,25907.619528000003,8873.092188,17034.52734,25942.269528,8907.742188,17034
139,BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,64,1686473265.0,1686473462.0,1,197.0,24839.499996,8302.972656,16536.52734,24839.572262,8303.044922,16536
140,BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,1686473463.0,1686473659.0,1,196.0,24839.050778,8302.523438,16536.52734,24982.050778,8445.523438,16536
141,BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,1686473660.0,1686473860.0,1,200.0,24839.523434000002,8302.996094,16536.52734,24944.678512,8408.151172,16536
142,BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,1686473864.0,1686474062.0,1,198.0,26900.860934,9404.333594,17496.52734,29009.41562,10552.88828,18456
