Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
Click_prediction_small_OpenML,399482,11,1687473045.2445405,1687473921.3250892,1,876.0805487632751,11850.409375,15706.295703125,27918.26328125,35819
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,38,1687474000.5743008,1687479494.7140026,1,5494.139701843262,3194.6703125,7923.90390625,3560.980859375,8239
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,1687479505.6030896,1687485034.635753,1,5529.032663345337,1440.15078125,6153.453125,1638.32578125,6329
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,38,1687485043.4669514,1687491192.1449149,1,6148.6779634952545,1210.21328125,6090.81640625,1394.976953125,6258
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,38,1687491201.981876,1687497315.8590603,1,6113.877184391022,2031.8470703125,6902.3140625,3132.66953125,8017
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,1687497325.2405915,1687503541.610351,1,6216.369759559631,3115.296484375,8007.963671875,3658.896484375,8824
BNG(spambase)_OpenML,1000000,57,1687509834.554169,0.0,-22,,125321.492578125,224964.137109375,125748.4328125,389841
CovPokElec_OpenML,1455525,72,1687511101.535069,0.0,-22,,7.796875,680.23828125,125489.767578125,390673
BNG(mfeat-fourier)_OpenML,1000000,76,1687786458.132835,0.0,-22,,118633.0986328125,167522.048046875,125516.53984375,391589
KDDCup99_full_OpenML,4898431,41,1687788138.188183,0.0,-22,,163.21484375,680.23828125,125601.57734375,393400
KDDCup99_full_OpenML,0,0,0.0,0.0,-23,0.0,,,,
KDDCup99_OpenML,494020,41,1687791739.3358846,0.0,-22,,61012.203125,68819.713671875,125909.4546875,389517
BNG(anneal_COMMA_5000_COMMA_10)_OpenML,1000000,38,1687794917.1126037,0.0,-22,,1435.758203125,6389.63125,1910.17265625,6862
BNG(anneal_COMMA_5000_COMMA_10)_OpenML,0,0,0.0,0.0,-23,0.0,,,,
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,38,1687798522.403134,0.0,-22,,1319.4818359375,6047.81640625,1558.83125,6203
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,0,0,0.0,0.0,-23,0.0,,,,
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,38,1687802127.678974,0.0,-22,,1284.2796875,6002.046875,1571.980859375,6139
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,0,0,0.0,0.0,-23,0.0,,,,
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,38,1687805732.626511,0.0,-22,,1353.9685546875,5965.04296875,1505.762109375,6084
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,0,0,0.0,0.0,-23,0.0,,,,
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,38,1687809338.8418114,0.0,-22,,1453.647265625,6057.12109375,1612.52734375,6197
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,0,0,0.0,0.0,-23,0.0,,,,
BNG(anneal.ORIG_COMMA_1000_COMMA_5)_OpenML,1000000,38,1687812943.856757,0.0,-22,,1247.419921875,5983.5171875,1557.330859375,6110
BNG(anneal.ORIG_COMMA_1000_COMMA_5)_OpenML,0,0,0.0,0.0,-23,0.0,,,,
BNG(anneal.ORIG_COMMA_1000_COMMA_10)_OpenML,1000000,38,1687816549.037594,0.0,-22,,1246.5578125,6049.12890625,1526.4171875,6165
BNG(anneal.ORIG_COMMA_1000_COMMA_10)_OpenML,0,0,0.0,0.0,-23,0.0,,,,
BNG(anneal.ORIG_COMMA_5000_COMMA_1)_OpenML,1000000,38,1687820154.0099614,0.0,-22,,1683.5125,6411.31640625,2280.2,6991
BNG(anneal.ORIG_COMMA_5000_COMMA_1)_OpenML,0,0,0.0,0.0,-23,0.0,,,,
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,38,1687823759.3227496,0.0,-22,,1505.430859375,6067.859375,1663.8671875,6209
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,0,0,0.0,0.0,-23,0.0,,,,
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,38,1687827364.6061509,0.0,-22,,1281.787890625,6016.4609375,1596.631640625,6134
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,0,0,0.0,0.0,-23,0.0,,,,
