Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
BNG(letter_COMMA_5000_COMMA_10)_OpenML,1000000,16,1686483575,1686483700,1,125,7320.585938,39689.77734,7413.358984,40805
BNG(letter_COMMA_5000_COMMA_5)_OpenML,1000000,16,1686483417,1686483541,1,124,7319.945313,39689.77734,7410.042578,40719
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686448255,1686448471,1,216,2022.957031,23151.18359,2391.358594,23550
BNG(letter)_OpenML,1000000,16,1686459785,1686459916,1,131,4180.972656,25533.49219,4596.077734,25975
BNG(libras_move)_OpenML,1000000,90,1686476881,1686477028,1,147,7247.808594,38770.52734,7271.785156,40248
BNG(lymph_COMMA_1000_COMMA_1)_OpenML,1000000,18,1686487022,1686487142,1,120,7322.316406,40169.77734,7411.324219,40523
BNG(lymph_COMMA_1000_COMMA_10)_OpenML,1000000,18,1686487291,1686487412,1,121,7322.253906,40169.77734,7411.088281,40630
BNG(lymph_COMMA_1000_COMMA_5)_OpenML,1000000,18,1686487159,1686487280,1,121,7321.898438,40169.77734,7414.604688,40526
BNG(lymph_COMMA_10000_COMMA_1)_OpenML,1000000,18,1686487856,1686487985,1,129,7320.863281,40169.77734,7321.457031,41576
BNG(lymph_COMMA_10000_COMMA_10)_OpenML,1000000,18,1686488143,1686488261,1,118,7324.851563,40169.77734,7410.419141,40458
BNG(lymph_COMMA_10000_COMMA_5)_OpenML,1000000,18,1686488010,1686488132,1,122,7321.253906,40169.77734,7401.574609,40401
BNG(lymph_COMMA_5000_COMMA_1)_OpenML,1000000,18,1686487425,1686487571,1,146,7322.390625,40169.77734,7408.697266,41724
BNG(lymph_COMMA_5000_COMMA_10)_OpenML,1000000,18,1686487720,1686487843,1,123,7321.292969,40169.77734,7413.527734,40550
BNG(lymph_COMMA_5000_COMMA_5)_OpenML,1000000,18,1686487588,1686487707,1,119,7321.957031,40169.77734,7406.692578,41760
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,1686448663,1686448803,1,140,1870.024219,22836.935550000002,2338.651563,23334
BNG(lymph)_OpenML,1000000,18,1686460236,1686460407,1,171,4314.15625,25863.65234,4925.194531,27430
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,76,1686448871,1686449010,1,139,2123.077344,23482.06758,2892.853516,24619
BNG(mfeat-fourier)_OpenML,1000000,76,1686460576,1686460709,1,133,4544.371094,26771.35938,5319.252344,27578
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,64,1686449072,1686449211,1,139,2156.585938,23476.64453,3090.634375,24737
BNG(mfeat-karhunen)_OpenML,1000000,64,1686460868,1686460992,1,124,4560.613281,27362.66172,4921.9125,28616
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,1686449586,1686449780,1,194,2475.695313,23719.61719,2806.1875,25955
BNG(mfeat-zernike)_OpenML,1000000,47,1686461340,1686461485,1,145,4550.011719,27383.24883,5276.157813,30088
BNG(mushroom)_OpenML,1000000,22,1686449793,1686449971,1,178,2203.501563,23458.9375,2629.470313,25554
BNG(optdigits)_OpenML,1000000,64,1686450386,1686450517,1,131,2254.6773439999997,23494.75977,2972.161719,25941
