Filename,Shape_R,Shape_C,Size,ARI,ARI_WD,Time_WD,ARI_SS,Time_SS,ARI_WO,Time_WO
fri_c3_1000_25,1000,26,269019,0.006724441,0.004373644,1.126998186,0.01849244,1.169892788,0.00417032,1.403801918
fri_c3_1000_10,1000,11,108396,0.022489181,0.00555292,1.012463093,0.040959097,0.964133978,0.005868391,1.242675066
fri_c2_1000_50,1000,51,535139,0,0.001403924,1.093770027,0,1.210416079,0.00176851,1.207642794
fri_c2_1000_5,1000,6,55181,0.072758731,0.025446514,1.022787809,0.069010932,0.850499153,0.0274043,0.97283721
fri_c2_1000_25,1000,26,268366,0.001760883,0.003392619,1.068000078,0.002650213,1.57444191,0.003392619,1.057351828
fri_c2_1000_10,1000,11,108815,5.67E-05,0.007607189,1.026321888,0.002660343,0.940201044,0.007853337,1.899438858
fri_c1_1000_50,1000,51,533205,-0.000198912,0.00162254,1.133051872,-0.00087448,1.279189825,0.00162254,1.200548887
fri_c1_1000_5,1000,6,55111,0.03077713,0.017730094,1.036384106,0.047491809,0.977674961,0.017730094,1.046478033
fri_c1_1000_25,1000,26,267691,9.62E-05,0.002432471,1.119155884,0.010530735,1.31816411,0.002432471,1.123107195
fri_c1_1000_10,1000,11,108229,0.006145739,0.007398437,1.036310911,0.015830754,0.802863121,0.007178301,1.563294888
fri_c0_1000_50,1000,51,532974,-0.000145748,0.003940804,1.040928125,-0.000559281,1.733071089,0.003940804,1.507431746
fri_c0_1000_5,1000,6,54984,0.027364902,0.016067972,1.032237053,0.023638844,1.011400938,0.016067972,1.058692932
fri_c0_1000_25,1000,26,268252,-7.92E-05,0.003069808,1.820795774,-0.000138344,1.182738781,0.002856587,2.743658066
fri_c0_1000_10,1000,11,108880,0.000273584,0.006382158,1.025263071,-0.000267566,1.217607975,0.006382158,1.031619787
flare,1066,11,27874,0.03978708,0.001212051,1.941142797,0.01601405,1.084028959,-0.000131928,2.958377838
first-order-theorem-proving,6118,52,3000537,0.244521563,0.018128694,39.15472412,0.021082103,5.256053925,0.02938219,36.45075583
fabert,8237,801,26789342,8.15E-05,0.020839593,18.28360605,-0.001527835,52.74725604,0.020839593,22.80816793
dna,3186,181,2301089,0.0009632,0.013444768,7.71615386,0.020020929,3.797369957,0.012967419,11.33315825
dis,3772,30,472880,0.185008748,0.000189066,15.39176702,-0.001583111,1.896816015,0.000274107,7.101550102
delta_elevators,9517,7,348275,0.001303111,0.01180712,90.93106604,0.000468832,2.097261906,0.004547316,49.11629987
delta_ailerons,7129,6,300723,0.130764132,0.017911912,21.61835599,0.148578871,1.740278006,0.020631805,46.45044494
credit_g,1000,21,61061,0.060627183,-0.001866443,1.872426987,0.011926372,1.384351969,0.005185144,1.242834806
credit-g,1000,21,87073,0.132514665,0.001385429,1.809128761,0.010357154,1.057245016,0.000954623,1.386087179
cpu_small,8192,13,604442,0.000843753,0.009372967,69.87943673,0.013468146,1.777273178,0.107788805,6.933694363
cpu_act,8192,22,944682,1.07E-05,0.001458206,70.30891895,0.000999635,1.670805216,0.107469757,6.929054022
contraceptive,1473,10,31100,0,0.008389562,1.475051165,0,0.954916,0.008396872,1.431767941
collins,1000,20,96830,0.058127498,0.054880777,1.061040878,0.043356469,1.120634079,0.054880777,1.171425819
coil2000,9822,86,1698133,0.022289025,9.95E-06,95.76201773,0.001141032,3.261954069,2.82E-05,173.8296299
cnae-9,1080,857,3704259,0.036162685,0.107634127,1.606798887,0.011964611,4.912011623,0.107738374,1.407271862
cmc,1473,10,57651,0.105076243,0.006376005,1.4985919,0.019457163,0.806194067,0.007006327,1.646593094
clean2,6598,169,6704443,0.11467507,0.002160532,46.06114388,0.001235349,5.805305958,0.002418525,27.61029124
churn,5000,21,521569,0.196531689,-0.000182138,26.20780396,-5.25E-05,2.046499968,-6.46E-05,18.67700315
chess,3196,37,236655,0.0142881,0.004741826,7.491431952,0.017788285,1.411192894,0.004509789,21.00783682
cardiotocography,2126,36,349809,0.088280301,0.008464527,3.119049072,-0.003425572,1.627549887,0.00999197,3.225003958
car_evaluation,1728,22,76372,0.005643197,0.003479795,2.889536619,0.016517735,0.965672016,0,1.685628176
car-evaluation,1728,22,148948,0.004561625,0.003500648,2.692752123,0.030863907,1.684808016,0.003564633,3.7745502
car,1728,7,44978,0.002853119,0.00613793,2.014976978,-0.002257794,0.954715252,0,1.683356047
banknote-authentication,1372,5,47813,0.151453502,0.055955615,1.652296066,0.168268726,1.215790987,0.05678399,1.301127911
bank8FM,8192,9,641779,0.086763814,0.011111013,24.91897917,0.077167599,2.189023972,0.012821454,21.11825633
bank32nh,8192,33,2551757,0.019614013,0.002159097,71.13928294,0.059432065,5.290347099,0.002114146,33.48744702
bank-marketing,4521,17,329454,0.03746826,0.0007562,21.50733209,0.036586647,2.30714488,0.006941283,11.74438405
banana,5300,3,86118,0.046004964,0.004767526,29.51440191,0.053864289,1.574612856,0.022840306,9.028730154
balloon,2001,2,13617,-4.44E-05,0.000151143,4.790529013,0.037085186,0.753629923,-0.001567841,1.992261887
autoUniv-au7-1100,1100,13,64626,0.367913648,0.013864401,2.007828951,0.006582651,0.655531883,0.004434812,1.177238941
autoUniv-au6-1000,1000,41,228983,0.194066478,0.000814287,1.143961191,0.005495896,1.048043013,-0.000637383,1.113440037
autoUniv-au4-2500,2500,101,1180009,0.02017731,-0.000324763,3.172353983,0.00365087,1.989536047,0.000133276,2.899363041
autoUniv-au1-1000,1000,21,82078,0.003129408,0.000494677,1.088284016,0.005683487,1.308422089,0.000664046,1.139847755
ann_thyroid,7200,22,529365,0.325926091,-0.00056961,54.18744802,-0.00510133,3.56768012,-0.000185579,16.7089951
analcatdata_supreme,4052,8,133837,0.004867205,0.001493322,17.61153603,0.097250585,1.929260969,0.036266655,61.13075566
allhypo,3770,30,253967,0.187425326,0.004127749,15.36780214,0.001046133,1.872583151,0.003136749,7.065948725
allhyper,3771,30,254035,0.203203907,0.001531852,15.33601093,0.00017394,1.215957165,0.001299691,6.841054201
allbp,3772,30,472880,0.184007368,0.001952338,15.33973813,0.004595327,2.254374743,0.001852638,4.610180855
agaricus_lepiota,8145,23,376261,0.02753665,0.004073085,69.16397691,0.104049034,2.323175907,0.006475115,69.02855086
ada,4147,49,837141,0.098504103,0.003231001,7.886897087,0.023481646,3.12206316,0.003231001,7.901118279
abalone,4177,9,208293,0.111656683,0.010897055,18.66591287,0.112935251,1.094681978,0.040865977,6.413201809
USPS,9298,257,23719532,0.090613682,0.071242051,35.85953712,0.439453081,14.989815,0.071043327,27.57129717
Titanic,2201,4,47015,-6.96E-05,0.000205304,5.770308733,0.014117905,1.087516069,0.001142896,10.39811492
Speech,3686,401,13798013,0.00035469,-0.000200707,5.260338068,0.013211028,8.868498802,-0.000193071,19.1680038
Satellite,5100,37,971912,0.143599519,0.000784878,8.765723228,0.003660392,2.306221724,0,3.31486392
PizzaCutter3,1043,38,189137,0.167621953,0.041324246,1.877947807,0.133608581,1.117429018,0.00129971,0.964640141
PieChart3,1077,38,195602,0.000265184,-0.001208155,1.951543093,0.002454783,0.807205915,0.061740178,1.171309233
JapaneseVowels,9961,15,1386971,0.077956945,0.005142664,100.0151629,0.008754718,2.561606169,0.003087453,164.3053992
Hill_Valley_without_noise,1212,101,1630738,0.139336743,-0.000370713,2.415599823,-0.000350059,1.692271948,9.55E-05,1.70836401
Hill_Valley_with_noise,1212,101,839165,-0.001563675,0.000589066,2.32901907,0.001393931,2.247740984,0.002172788,1.734037876
GesturePhaseSegmentationProcessed,9873,33,3556412,0.132143039,0.028363698,96.18442607,0.046145484,9.265361071,0.030183108,51.95457196
BachChoralHarmony,5665,17,392291,0.09920568,0.010871886,20.76463008,0.002907047,2.247739077,0.011654363,12.32183003
628_fri_c3_1000_5,1000,6,117621,0.116439003,0,1.04230094,0,0.868685961,0,1.020349026
623_fri_c4_1000_10,1000,11,215606,0.017294802,0,1.149780989,0,1.368315697,0,1.125016928
622_fri_c2_1000_50,1000,51,997620,-0.000146682,0,1.16657424,0,1.72913003,0,1.675270796
620_fri_c1_1000_25,1000,26,508499,0.000108341,0,1.337736845,0,1.088790894,0,1.121290922
618_fri_c3_1000_50,1000,51,997671,0.000663122,0,1.842333078,0,1.358783007,0,1.137368917
612_fri_c1_1000_5,1000,6,117439,0.044578141,0,1.032859087,0,0.975012302,0,1.083401918
609_fri_c0_1000_5,1000,6,117457,0.000150321,0,1.108544111,0,1.152817965,0,1.226765156
608_fri_c3_1000_10,1000,11,215550,0.023524122,0,1.044476748,0,0.851741076,0,1.623415709
607_fri_c4_1000_50,1000,51,997930,0.000740848,0,1.238546133,0,1.840790033,0,1.027271748
606_fri_c2_1000_10,1000,11,215321,0.001987182,0,1.047489643,0,1.009697914,0,1.668802023
