Filename,Row,Columm,Mode,System,Time_M2,Time_Jimmy,Time_Louise,Time_Thelma,ARI
covertype_OpenML,581012,54,SS,M2,86.69758797,234.0834875,301.9676989,273.8776804,-0.025175692
Hyperplane_10_1E-3_OpenML,1000000,10,SS,M2,89.94608998,260.8436609,339.0967592,310.4039565,-4.44E-10
Hyperplane_10_1E-4_OpenML,1000000,10,SS,M2,75.28034997,210.7849799,276.1283237,248.7262763,1.05E-06
LED(50000)_OpenML,1000000,24,SS,M2,207.864321,561.2336667,723.99143,656.64339,0.098547369
RandomRBF_0_0_OpenML,1000000,10,SS,M2,69.9735992,202.9234377,263.800469,241.4788908,0.011168276
RandomRBF_10_1E-3_OpenML,1000000,10,SS,M2,72.06315732,201.7768405,264.327661,238.0966718,0.023182483
RandomRBF_10_1E-4_OpenML,1000000,10,SS,M2,71.79396105,193.8436948,250.0583663,226.797123,0.023156504
RandomRBF_50_1E-3_OpenML,1000000,10,SS,M2,73.33940506,212.6842747,276.4895571,253.0942869,-0.000145981
RandomRBF_50_1E-4_OpenML,1000000,10,SS,M2,75.32907915,210.9214216,276.3070623,248.8872775,0.000195597
pol_OpenML,15000,48,SS,M2,2.23216486,6.026845122,7.774630207,7.051408793,0.005168323
2dplanes_OpenML,40768,10,SS,M2,4.806932926,13.94010549,18.12213713,16.58872553,4.85E-07
elevators_OpenML,16599,18,SS,M2,2.820728064,7.898038579,10.34643054,9.319685523,0.011441818
BNG(anneal)_OpenML,1000000,38,SS,M2,236.121037,637.5267999,822.4095719,745.9063559,-0.006087996
BNG(anneal.ORIG)_OpenML,1000000,38,SS,M2,213.6342022,619.5391864,805.4009423,737.2516318,-0.009356587
BNG(labor)_OpenML,1000000,16,SS,M2,142.0371959,397.7041485,520.9924346,469.2908953,-0.024290223
BNG(letter)_OpenML,1000000,16,SS,M2,147.1583579,397.3275663,512.5525606,464.8732526,0.001465889
BNG(autos)_OpenML,1000000,25,SS,M2,169.5117717,491.5841379,639.0593793,584.9851241,0.003831375
BNG(lymph)_OpenML,1000000,18,SS,M2,98.95191979,277.0653754,362.9556418,326.937143,0.078627975
BNG(mfeat-fourier)_OpenML,1000000,76,SS,M2,354.8046558,957.9725707,1235.784616,1120.827908,0.089637958
BNG(bridges_version1)_OpenML,1000000,12,SS,M2,200.0643272,580.1865489,754.2425135,690.4219932,-0.005443624
BNG(mfeat-zernike)_OpenML,1000000,47,SS,M2,233.4058049,653.5362537,856.1324924,771.1727794,0.044605461
BNG(colic.ORIG)_OpenML,1000000,27,SS,M2,167.4369342,452.0797223,583.1828418,528.9332751,-3.74E-05
BNG(colic)_OpenML,1000000,22,SS,M2,159.3145859,462.0122991,600.6159888,549.7946359,0.017659977
BNG(credit-a)_OpenML,1000000,15,SS,M2,249.2226419,697.8233973,914.1486505,823.4316088,0.003575714
BNG(page-blocks)_OpenML,295245,10,SS,M2,197.194175,532.4242725,686.8273115,622.9363988,0
BNG(credit-g)_OpenML,1000000,20,SS,M2,252.6021192,732.5461457,952.3099894,871.7299134,0.010892864
BNG(pendigits)_OpenML,1000000,16,SS,M2,106.3649039,297.8217309,390.1464675,351.4296425,0.00678077
BNG(cylinder-bands)_OpenML,1000000,39,SS,M2,233.1922069,629.6189586,812.2084566,736.6541816,0.00146545
BNG(sonar)_OpenML,1000000,60,SS,M2,264.461431,766.9381499,997.0195949,912.6563984,0.022787265
BNG(vehicle)_OpenML,1000000,18,SS,M2,110.2203803,308.6170648,404.2883549,364.1681365,0.080000396
BNG(zoo)_OpenML,1000000,16,SS,M2,68.9139483,186.0676604,240.0272819,217.6991627,0.1988613
20_newsgroups.drift_OpenML,399940,1001,SS,M2,1120.996485,3250.889807,4226.156748,3868.55887,0.011674822
meta_stream_intervals.arff_OpenML,45164,74,SS,M2,10.49619699,29.38935157,38.50005056,34.67943485,0.002425501
Ailerons_OpenML,13750,40,SS,M2,4.896876812,13.22156739,17.05582194,15.46923385,0.00108361
mv_OpenML,40768,10,SS,M2,10.14832616,29.43014586,38.25918962,35.02187358,-3.34E-05
mnist_784_OpenML,70000,784,SS,M2,105.2563829,294.7178721,386.0804125,347.7670891,0.003058729
fried_OpenML,40768,10,SS,M2,3.415385246,9.221540164,11.89578681,10.78920199,8.01E-08
house_16H_OpenML,22784,16,SS,M2,3.999864817,11.59960797,15.07949036,13.80353348,0.03195728
ailerons_OpenML,13750,40,SS,M2,4.540456057,12.71327696,16.65439282,15.00166681,0.002052509
sylva_prior_OpenML,14395,108,SS,M2,3.769459963,10.1775419,13.12902905,11.90772402,0.007706009
eye_movements_OpenML,10936,27,SS,M2,3.881122112,11.25525412,14.63183036,13.39375241,0.01511285
KDDCup99_full_OpenML,4898431,41,SS,M2,808.333585,2263.334038,2964.96759,2670.734165,0.066319467
MagicTelescope_OpenML,19020,10,SS,M2,8.048511028,21.73097978,28.03296391,25.42524634,-4.83E-05
BNG(primary-tumor)_OpenML,1000000,17,SS,M2,62.26601791,180.5714519,234.7428875,214.8800278,0.038876712
BNG(solar-flare)_OpenML,663552,12,SS,M2,58.18731189,162.9244733,213.43106,192.2508785,-0.027946777
BNG(spect_test)_OpenML,1000000,22,SS,M2,87.3202281,235.7646159,304.1363545,275.8446006,0.003451726
BNG(spectf_test)_OpenML,1000000,44,SS,M2,273.6475909,793.5780136,1031.651418,944.3578362,-0.030459198
