Filename,Row,Columm,Mode,System,Time_2060,Time_M2,Time_Jimmy,Time_Thelma,Time_Louise,ARI,System_AP,Time_AP,ARI_AP,System_DBSCAN,Time_DBSCAN,ARI_DBSCAN,System_HAC,Time_HAC,ARI_HAC,System_SC,Time_SC,ARI_SC
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,38,SS,M2,869.2575474,212.0140359,415.5475104,723.052668,789.5402697,0.008336586,M2,212.0140359401703,0.0083365857471998,3070,146.18191528320312,0.0206859937118862,M2,104.42504930496216,0.0170989753850808,M2,258.44721722602844,-0.0330665478637679
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,38,SS,M2,808.2751598,197.1402829,386.3949545,672.3272208,734.1504135,0.016738548,M2,197.140282869339,0.0167385479940509,3070,142.31977319717407,0.0231147446152513,M2,103.80351901054382,0.0087509649987506,M2,231.51840782165527,0.0032011843081105
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,38,SS,2060,712.2769775,173.7260921,340.5031405,592.4754645,646.955967,0.018077348,2060,712.2769775390625,0.0180773477811487,3070,143.24779772758484,0.0208211016759519,M2,103.48720097541808,0.0068958331238431,M2,437.4493820667267,-0.0070416328624553
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,SS,M2,849.2129545,207.1251109,405.9652174,706.3794782,771.333913,0.008001229,M2,207.12511086463928,0.008001229441705,3070,144.7161729335785,0.0204399497339351,M2,105.26467609405518,0.0164012865661303,M2,210.1849730014801,0.0157304801928851
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,2060,781.7639945,190.674145,373.7213242,650.2751041,710.070516,0.040444522,2060,781.7639944553375,0.0404445221873326,3070,138.71108865737915,0.3745599541506459,M2,93.87801814079285,0.3166271187930141,M2,227.99527406692505,0.1747150277451217
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,38,SS,M2,829.7093319,202.3681297,396.6415342,690.1562695,753.618915,-0.001706928,M2,202.3681297302246,-0.0017069277803762,3070,143.1488740444183,0.0317878743347737,M2,103.2472438812256,0.0277446509694757,M2,285.8080608844757,1.3432931768871108e-05
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,1000000,38,SS,M2,923.2780491,225.1897681,441.3719455,767.9871851,838.6066964,0.026919545,M2,225.189768075943,0.026919544776099,3070,140.86611223220825,0.125183631419559,M2,101.08299922943117,0.1403286364177213,M2,233.93713903427124,0.0566478212386759
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,1000000,38,SS,M2,772.5736435,188.432596,369.3278882,642.6305254,701.7229875,0.011106223,M2,188.4325959682465,0.0111062230574618,3070,143.67252159118652,0.001874996735102,M2,102.4896490573883,0.0294892668169243,M2,238.7325930595398,0.0256745526462033
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,1000000,38,SS,M2,885.8694846,216.0657279,423.4888267,736.8705584,804.6287707,0.000113766,M2,216.06572794914248,0.0001137658351154,3070,140.43548798561096,0.0149228287842674,M2,102.106684923172,0.0674125709142701,M2,207.5762629508972,-0.0056132433606311
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,38,SS,M2,856.6470999,208.9383171,409.5191015,712.5632366,778.0862929,0.007875753,M2,208.93831706047052,0.0078757531720849,3070,143.1513180732727,0.0318400780190857,M2,104.26557326316832,0.0278004562818156,M2,240.4861981868744,0.0111224663657922
