Filename,Row,Columm,Mode,System_AP,Time_AP,ARI_AP,System_DBSCAN,Time_DBSCAN,ARI_DBSCAN,System_HAC,Time_HAC,ARI_HAC,System_SC,Time_SC,ARI_SC
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,1000000,40,Default,,,,M2,3055.075196027756,-2.559411340609124e-07,,,,,,
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,Default,,,,M2,1508.5596520900726,-0.0461622702637085,,,,,,
Hyperplane_10_1E-3_OpenML,1000000,10,Default,,,,M2,1275.5028519630432,0.0,,,,,,
Hyperplane_10_1E-4_OpenML,1000000,10,Default,,,,M2,1279.7294347286224,0.0,,,,,,
LED(50000)_OpenML,1000000,24,Default,,,,M2,2443.156308889389,-9.265735047489874e-07,,,,,,
pokerhand_OpenML,829201,10,Default,,,,M2,858.3097820281982,0.0,,,,,,
RandomRBF_50_1E-3_OpenML,1000000,10,Default,,,,M2,1264.4476380348206,0.0010964920200252,,,,,,
RandomRBF_50_1E-4_OpenML,1000000,10,Default,,,,M2,1265.576712846756,0.0009695993513326,,,,,,
covertype_OpenML,110393,54,Default,,,,M2,35.82344484329224,0.0003234989094241,,,,,,
BNG(anneal)_OpenML,1000000,38,Default,,,,M2,2314.159349918365,-0.1394045737967331,,,,,,
BNG(anneal.ORIG)_OpenML,1000000,38,Default,,,,M2,2336.3303859233856,-0.1122678550570599,,,,,,
BNG(labor)_OpenML,1000000,16,Default,,,,M2,2165.760441303253,-0.0439973578422564,,,,,,
BNG(letter)_OpenML,1000000,16,Default,,,,M2,2158.663244009018,-1.9922837137261965e-07,,,,,,
BNG(autos)_OpenML,1000000,25,Default,,,,M2,1801.3735411167145,0.0,,,,,,
BNG(lymph)_OpenML,1000000,18,Default,,,,M2,1537.7128829956057,-0.0426476162874461,,,,,,
BNG(bridges_version1)_OpenML,1000000,12,Default,,,,M2,1320.224669933319,0.0,,,,,,
BNG(mfeat-zernike)_OpenML,1000000,47,Default,,,,M2,2894.4989488124847,0.0,,,,,,
BNG(colic.ORIG)_OpenML,1000000,27,Default,,,,M2,1878.2998168468475,0.0,,,,,,
BNG(colic)_OpenML,1000000,22,Default,,,,M2,1688.98952293396,0.0,,,,,,
BNG(credit-a)_OpenML,1000000,15,Default,,,,M2,1673.168468952179,-3.899176433948151e-06,,,,,,
BNG(page-blocks)_OpenML,295245,10,Default,,,,M2,109.3021240234375,0.0,,,,,,
BNG(credit-g)_OpenML,1000000,20,Default,,,,M2,1609.2948579788208,0.0,,,,,,
BNG(pendigits)_OpenML,1000000,16,Default,,,,M2,2158.411877155304,0.0,,,,,,
BNG(cylinder-bands)_OpenML,1000000,39,Default,,,,M2,2587.5245921611786,0.0,,,,,,
BNG(dermatology)_OpenML,1000000,34,Default,,,,M2,2148.571297645569,6.148633763241075e-05,,,,,,
BNG(sonar)_OpenML,1000000,60,Default,,,,M2,3167.949331998825,-0.0001862931874553,,,,,,
BNG(heart-c)_OpenML,1000000,13,Default,,,,M2,1356.8141720294952,0.0,,,,,,
BNG(heart-statlog)_OpenML,1000000,13,Default,,,,M2,1359.3888840675354,0.0,,,,,,
