Filename,Shape_R,Shape_C,Size,ARI,ARI_WD,Time_WD,ARI_SS,Time_SS,ARI_WO,Time_WO
sleuth_ex2016,87,11,5603,0.21754951321129823,-0.0013447447925648136,0.8000619411468506,-0.0001895087476516741,0.5827219486236572,0,0
sleuth_ex1605,62,6,1877,0.11765381713642323,0.0384352668853313,0.797191858291626,0.07138808095827325,0.5055830478668213,0,0
sleuth_ex1221,42,10,2307,0.0,0.016774447690641105,0.8010737895965576,0.0,0.31896114349365234,0,0
sleuth_case2002,147,7,4120,0.10129240850867854,0.006966179226026608,0.801887035369873,0.08827349210118395,0.3921849727630615,0,0
sleuth_case1202,93,7,3369,0.2077932739960553,0.351767602403146,0.8070001602172852,0.020145275555245562,0.42820096015930176,0,0
sleuth_case1201,50,7,1827,0.0,0.7152835326151297,0.8027100563049316,0.0,0.2571260929107666,0,0
shuttle,58000,10,2581809,0.008642585588243181,0.0003636868600430644,1.1022050380706787,0.05015079245537434,12.979176998138428,0,0
servo,167,5,3037,-0.0013291559859489224,-0.003451025192483905,0.7910442352294922,-0.01234056926465621,0.8642120361328125,0,0
sensory,576,12,26591,0.18839508854081277,0.013916858343156915,0.8339211940765381,0.0050239025078065705,0.47652101516723633,0,0
semeion,1593,257,1635597,0.09152217756683544,0.10508943232000331,1.0600810050964355,0.016474661276313193,1.7469251155853271,0,0
seismic-bumps,210,8,10979,0.5348080387632625,0.4484799839470252,0.8027241230010986,0.37479577841463696,0.41655898094177246,0,0
segmentation,2310,20,413130,-0.05089161499951035,0.09551069261056243,0.8666799068450928,0.07016013807398143,0.9303638935089111,0,0
segment,2310,20,336255,0.013936009356719879,0.0934525093108853,0.8966760635375977,1.2802849810345868e-05,1.1052021980285645,0,0
seeds,210,8,10979,0.7383059082507977,0.4551911242473035,0.7974200248718262,0.4125246124980098,0.3968930244445801,0,0
scene,2407,300,7215387,0.6963802016995342,-0.08328424742504452,1.8597238063812256,-0.06484103597326117,6.258946180343628,0,0
satimage,6430,37,2461827,0.03962984740633848,0.17959800083535252,1.079265832901001,0.1776333401172457,2.2070698738098145,0,0
saheart,462,10,18654,0.007019569307369045,0.043657564057579985,0.8198988437652588,-0.006072264188121889,0.5275647640228271,0,0
sa-heart,462,10,22317,0.10877600596155362,0.041890811932678886,0.8364200592041016,-0.007090255818344774,0.8222641944885254,0,0
waveform_40,5000,41,1058237,0.6147129819738242,0.3030835876543779,0.9413161277770996,0.25890870972824126,3.1826260089874268,0,0
waveform_21,5000,22,545157,0.7058108075242749,0.3345356187116553,0.8805208206176758,0.27762941367961763,1.5279810428619385,0,0
waveform-5000,5000,41,1058228,0.59601458257255,0.28787643167391497,0.9313080310821533,0.26381202234006007,2.4357588291168213,0,0
volcanoes-e2,1080,4,25508,0.20956314429869707,0.0009059483333060367,0.8111588954925537,0.010424166308155021,0.7284150123596191,0,0
twonorm,7400,21,1132260,0.9555134674594853,0.9073856782352195,0.92681884765625,0.8976011530240711,1.4038121700286865,0,0
thyroid-dis,2800,27,319250,-0.037379279776349535,-0.05762549532594916,0.8693361282348633,-0.002611118741985698,0.8657631874084473,0,0
thyroid-allrep,2800,27,319250,-0.04738553837332683,-0.058211483721576286,0.8723456859588623,0.0018760450272257388,1.0062007904052734,0,0
thyroid-allhypo,2800,27,319250,0.019990763448738416,-0.058175449514650354,0.865164041519165,0.00035483908795138605,1.1603200435638428,0,0
thyroid-allhyper,2800,27,319250,0.021891713298183024,-0.05911097710956379,0.8716857433319092,0.001352466081052307,1.7786080837249756,0,0
thyroid-allbp,2800,27,319250,0.006638777011629022,-0.05805504762600983,0.8614020347595215,-1.530924124343368e-05,1.1270527839660645,0,0
texture,5500,41,1921705,0.6350249230260391,0.1712572222066427,1.0244340896606445,0.11278040432265825,1.6362881660461426,0,0
sylvine,5124,21,625372,0.026332019182944665,0.0058961810088609505,0.921626091003418,0.00062376550509552,1.3010838031768799,0,0
rmftsa_sleepdata,1024,3,13923,0.7566387733959046,0.04552622841360534,0.8271360397338867,0.057138399099471646,0.39554405212402344,0,0
ringnorm,7400,21,1009524,0.2779476626018384,0.9177424710629964,0.9273908138275146,0.2584577573316566,2.741055965423584,0,0
ring,7400,21,1009548,0.09953835527524699,0.9172232368082324,0.9146018028259277,0.08861166186316088,2.6086058616638184,0,0
quake,2178,4,43674,0.13902419243178973,0.0015020947776785763,0.800358772277832,-0.001928340145623978,1.0182318687438965,0,0
qsar-biodeg,1055,42,221999,-0.04443495650854335,-0.016760839383196096,0.8658649921417236,0.001878265309966451,1.31821608543396,0,0
puma8NH,8192,9,711098,8.911408277113058e-05,-0.00011616311139761156,0.9242618083953857,-1.129226249369907e-07,1.6307971477508545,0,0
puma32H,8192,33,2724113,-0.00017236310606001106,-0.00011726826023956738,1.0163030624389648,-5.9908289829174715e-05,3.2317888736724854,0,0
pollen,3848,6,156109,0.5846844599194969,-0.00023409654964912688,0.8241269588470459,4.513751398812589e-06,0.6375200748443604,0,0
phoneme,5404,6,310250,0.7067196744776892,0.12436259336009137,0.8404688835144043,0.10099989953322949,2.32108998298645,0,0
philippine,5832,309,16112750,-1,-1,-1,0.012839764254846075,9.080856084823608,0,0
pc4,1458,38,255806,0.14180429937895325,0.030005217801916086,0.8436100482940674,0.08258241383537071,0.8366680145263672,0,0
pc3,1563,38,276975,0.0032176675356286925,-0.0011305615049961816,0.8451781272888184,-0.0010187079178465021,0.9333980083465576,0,0
pc2,5589,37,882894,0.11424836643206483,0.07571529377775583,0.9148731231689453,0.07776889814174794,1.5407490730285645,0,0
pc1,1109,22,118014,0.0046025189403494145,0.021105766856141624,0.8407249450683594,0.006449910775868617,0.6797440052032471,0,0
parity5_plus_5,1124,11,47276,0.0024546448503433346,-0.000872693727248732,0.8208141326904297,-0.00012078750307024745,1.3435490131378174,0,0
parity5+5,1124,11,24796,0.02667439561666179,-0.0007478588200840676,0.8097250461578369,-0.00019754897265740064,0.46079182624816895,0,0
page_blocks,5473,11,330877,0.45954718752207674,0.02738197652762533,0.8482871055603027,0.0723935278462114,0.8401379585266113,0,0
page-blocks,5473,11,330877,0.4550058858125981,0.030426789469692406,0.842210054397583,0.05478416503230965,0.8507089614868164,0,0
ozone-level-8hr,2534,73,953450,0.006887462511927951,-0.012501170792820203,1.0323688983917236,-0.0043550169665198145,3.0610058307647705,0,0
optdigits,5620,65,1548221,0.02711638633841596,-0.05811486046801891,1.081529140472412,-0.012045300228288666,1.8991751670837402,0,0
one-hundred-plants-texture,1599,65,798729,0.13637441384789353,0.010806792367466176,0.9083130359649658,0.0006265227877633052,1.0621569156646729,0,0
