Name,Time,Memory_Physical,Memory_Virtual
python3.11,1685672799.534612,19814.71171875,90568.7109375
python3.11,1685672809.606956,19468.689453125,93487.1109375
python3.11,1685672819.682554,19119.83515625,96367.1109375
python3.11,1685672829.769757,18756.8203125,99183.1109375
python3.11,1685672839.8633401,18382.571875,102165.5109375
python3.11,1685672849.912977,18037.67734375,104827.9109375
python3.11,1685672860.0218308,17660.5484375,107618.3109375
python3.11,1685672870.102294,17312.28984375,110575.1109375
python3.11,1685672880.193799,17060.96171875,113467.9109375
python3.11,1685672890.299359,16758.50546875,116335.1109375
python3.11,1685672900.403415,16404.595703125,119163.9109375
python3.11,1685672910.5232399,16059.380859375,122235.9109375
python3.11,1685672920.6187148,15649.002734375,125128.7109375
python3.11,1685672930.708277,14992.85703125,128111.1109375
python3.11,1685672940.780849,14617.9671875,130786.3109375
python3.11,1685672950.8795469,14538.193359375,133935.1109375
python3.11,1685672960.987815,14312.674609375,136635.9109375
python3.11,1685672971.080548,14041.574609375,139554.3109375
python3.11,1685672981.182374,13705.65625,142664.7109375
python3.11,1685672991.284491,13336.98046875,145698.3109375
python3.11,1685673001.352737,12989.30546875,148783.1109375
python3.11,1685673011.453234,12606.7484375,151739.9109375
python3.11,1685673021.511658,12100.06953125,154683.9109375
python3.11,1685673031.588917,11788.67109375,157640.7109375
python3.11,1685673041.6703901,11357.273828125,160661.5109375
python3.11,1685673051.764798,11030.95,163707.9109375
python3.11,1685673061.856936,10739.21484375,166677.5109375
python3.11,1685673071.95287,10391.79296875,169787.9109375
python3.11,1685673082.034585,10032.88125,172783.1109375
python3.11,1685673092.150306,9724.228515625,175765.5109375
python3.11,1685673102.227029,9387.89765625,178863.1109375
python3.11,1685673112.318779,9028.90703125,181960.7109375
python3.11,1685673122.4104152,8653.544140625,185122.3109375
python3.11,1685673132.514079,8200.65546875,188002.3109375
python3.11,1685673142.625474,7843.69140625,191074.3109375
python3.11,1685673152.7110531,7511.297265625,194005.5109375
python3.11,1685673162.8138938,7208.67421875,196987.9109375
